Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,Extra-courses did,certifications,workshops,reading and writing skills,memory capability score,Interested subjects,interested career area ,Type of company want to settle in?,Taken inputs from seniors or elders,Interested Type of Books,Management or Technical,hard/smart worker,worked in teams ever?,Introvert,Suggested Job Role
6,3,8,8,yes,no,distro making,database security,excellent,poor,Computer Architecture,cloud computing,product development,no,Journals,Management,smart worker,yes,no,Software Developer
4,1,3,4,no,yes,r programming,cloud computing,medium,excellent,Management,testing,product development,yes,Childrens,Technical,hard worker,yes,no,Software Developer
7,6,5,1,yes,yes,r programming,cloud computing,medium,medium,cloud computing,testing,Product based,no,Action and Adventure,Technical,smart worker,no,yes,Software Developer
5,5,6,8,no,yes,machine learning,data science,poor,excellent,Computer Architecture,system developer,Sales and Marketing,no,History,Technical,smart worker,yes,no,Software Developer
7,5,9,9,no,yes,shell programming,data science,medium,medium,networks,security,Testing and Maintainance Services,yes,Dictionaries,Management,hard worker,no,yes,Software Developer
7,2,5,4,no,no,python,system designing,excellent,poor,IOT,system developer,Cloud Services,no,History,Technical,smart worker,yes,no,Software Developer
7,0,6,8,no,no,full stack,testing,poor,poor,hacking,security,Finance,yes,Science,Technical,smart worker,no,no,Software Developer
9,2,9,3,yes,no,shell programming,testing,poor,poor,Computer Architecture,security,Cloud Services,no,Mystery,Management,smart worker,no,yes,Software Developer
7,2,2,8,no,yes,shell programming,game development,medium,medium,data engineering,Business process analyst,BPA,yes,Childrens,Technical,smart worker,yes,no,Software Developer
9,6,2,6,no,yes,machine learning,hacking,medium,medium,Management,testing,Service Based,yes,Art,Management,hard worker,yes,no,Software Developer
8,1,5,9,yes,yes,machine learning,testing,excellent,excellent,parallel computing,Business process analyst,Cloud Services,no,Prayer books,Management,smart worker,yes,yes,Software Developer
2,5,1,1,no,no,python,game development,medium,medium,data engineering,Business process analyst,product development,yes,Travel,Management,smart worker,no,no,Software Developer
2,3,3,8,no,no,app development,cloud computing,medium,excellent,cloud computing,Business process analyst,Testing and Maintainance Services,yes,Encyclopedias,Technical,smart worker,no,yes,Software Developer
2,2,3,6,yes,no,app development,web technologies,medium,medium,programming,developer,product development,no,Anthology,Technical,hard worker,no,no,Software Developer
6,4,6,9,yes,no,full stack,game development,medium,excellent,parallel computing,cloud computing,Finance,no,Comics,Technical,smart worker,yes,no,Software Developer
6,2,1,7,yes,yes,shell programming,cloud computing,medium,poor,cloud computing,system developer,Sales and Marketing,yes,Self help,Technical,hard worker,yes,yes,Software Developer
6,0,4,5,no,yes,python,database security,medium,poor,cloud computing,Business process analyst,Service Based,no,Poetry,Management,smart worker,yes,yes,Software Developer
1,3,9,3,yes,no,python,hacking,medium,medium,Management,system developer,Product based,yes,Religion-Spirituality,Management,smart worker,yes,yes,Software Developer
6,0,4,2,no,no,information security,hacking,medium,excellent,Management,testing,Service Based,no,Mystery,Technical,hard worker,yes,no,Software Developer
9,6,4,2,no,no,shell programming,cloud computing,medium,excellent,hacking,security,Service Based,yes,Action and Adventure,Management,smart worker,yes,no,Software Developer
9,6,4,9,no,yes,machine learning,game development,medium,medium,Management,developer,Web Services,no,Anthology,Management,hard worker,yes,no,Software Developer
4,2,6,8,yes,no,information security,hacking,poor,excellent,Software Engineering,testing,Testing and Maintainance Services,no,Science fiction,Management,smart worker,no,yes,Software Developer
5,5,7,5,no,yes,r programming,web technologies,medium,poor,data engineering,system developer,Sales and Marketing,yes,Autobiographies,Management,smart worker,no,no,Software Developer
5,2,7,3,yes,no,hadoop,system designing,excellent,excellent,data engineering,developer,Sales and Marketing,no,Health,Management,smart worker,no,no,Software Developer
8,3,4,8,no,yes,app development,database security,medium,poor,Computer Architecture,system developer,SAaS services,no,Diaries,Management,smart worker,yes,no,Software Developer
6,5,2,2,no,no,full stack,cloud computing,medium,poor,hacking,testing,product development,yes,Poetry,Management,smart worker,yes,no,Software Developer
5,0,4,1,no,no,hadoop,system designing,excellent,poor,cloud computing,Business process analyst,product development,yes,Encyclopedias,Technical,hard worker,no,yes,Software Developer
9,5,3,1,no,no,full stack,hacking,excellent,medium,IOT,testing,BPA,no,Self help,Management,smart worker,no,yes,Software Developer
8,1,3,7,yes,yes,shell programming,data science,excellent,excellent,Management,system developer,Web Services,no,Encyclopedias,Management,hard worker,no,no,Software Developer
2,3,2,1,yes,no,app development,database security,medium,poor,data engineering,Business process analyst,BPA,yes,Romance,Technical,smart worker,yes,no,Software Developer
1,6,8,7,yes,yes,r programming,database security,poor,excellent,networks,Business process analyst,SAaS services,yes,Guide,Technical,hard worker,no,yes,Software Developer
6,0,1,2,yes,no,distro making,testing,poor,medium,Software Engineering,Business process analyst,Service Based,no,Guide,Management,smart worker,yes,no,Software Developer
1,3,3,7,yes,no,machine learning,hacking,medium,excellent,programming,developer,Web Services,no,Guide,Technical,hard worker,yes,yes,Software Developer
6,1,9,4,yes,no,app development,cloud computing,poor,medium,networks,Business process analyst,Product based,yes,Autobiographies,Management,hard worker,yes,no,Software Developer
1,5,7,1,no,yes,app development,testing,poor,poor,networks,cloud computing,SAaS services,no,Satire,Technical,hard worker,yes,yes,Software Developer
6,6,6,7,no,yes,full stack,web technologies,excellent,poor,programming,cloud computing,product development,yes,Childrens,Management,smart worker,no,yes,Software Developer
3,3,1,6,yes,no,app development,hacking,poor,medium,cloud computing,cloud computing,SAaS services,yes,Childrens,Management,smart worker,no,yes,Software Developer
5,4,7,8,yes,yes,full stack,data science,poor,excellent,Management,cloud computing,BPA,no,Health,Technical,hard worker,no,yes,Software Developer
5,2,9,6,no,yes,python,data science,poor,medium,Computer Architecture,Business process analyst,Testing and Maintainance Services,yes,Anthology,Management,smart worker,no,yes,Software Developer
4,4,8,8,no,yes,app development,game development,excellent,excellent,parallel computing,system developer,Finance,yes,Encyclopedias,Technical,hard worker,yes,yes,Software Developer
5,6,2,5,yes,no,distro making,hacking,medium,medium,IOT,developer,Sales and Marketing,yes,History,Technical,smart worker,yes,no,Software Developer
8,0,3,2,yes,yes,information security,web technologies,excellent,poor,hacking,Business process analyst,product development,yes,Action and Adventure,Management,smart worker,yes,yes,Software Developer
4,5,9,5,yes,no,hadoop,game development,poor,excellent,Computer Architecture,cloud computing,Product based,no,Mystery,Technical,hard worker,no,yes,Software Developer
6,0,4,7,yes,no,machine learning,database security,medium,medium,cloud computing,cloud computing,Web Services,yes,Guide,Technical,smart worker,no,yes,Software Developer
8,0,6,3,yes,yes,information security,testing,excellent,excellent,IOT,cloud computing,Sales and Marketing,no,Journals,Technical,hard worker,yes,no,Software Developer
9,6,6,4,yes,yes,information security,data science,poor,medium,Software Engineering,Business process analyst,SAaS services,no,Science,Technical,smart worker,no,no,Software Developer
1,0,3,2,no,yes,r programming,database security,medium,poor,Management,system developer,Web Services,no,Prayer books,Management,hard worker,no,no,Software Developer
2,3,7,4,yes,yes,shell programming,database security,excellent,excellent,hacking,security,Service Based,yes,Poetry,Management,hard worker,yes,yes,Software Developer
6,1,1,1,yes,no,hadoop,data science,excellent,medium,Management,testing,Sales and Marketing,no,Self help,Technical,smart worker,yes,yes,Software Developer
2,2,1,9,no,no,r programming,data science,medium,medium,programming,security,Sales and Marketing,yes,Science fiction,Technical,smart worker,yes,no,Software Developer
5,2,2,7,yes,no,distro making,system designing,poor,medium,Management,cloud computing,product development,no,Encyclopedias,Technical,smart worker,no,no,Software Developer
9,1,6,2,yes,yes,python,database security,excellent,medium,parallel computing,testing,Web Services,no,Journals,Management,hard worker,no,yes,Software Developer
1,5,7,3,yes,no,app development,cloud computing,poor,medium,IOT,security,Service Based,no,Dictionaries,Management,hard worker,no,no,Software Developer
9,2,2,6,no,yes,full stack,web technologies,excellent,excellent,IOT,Business process analyst,Service Based,yes,Encyclopedias,Management,smart worker,no,no,Software Developer
1,4,3,7,no,yes,r programming,system designing,poor,poor,cloud computing,system developer,Sales and Marketing,yes,Health,Technical,hard worker,no,no,Software Developer
5,5,1,9,yes,yes,machine learning,testing,excellent,excellent,Management,Business process analyst,SAaS services,yes,Comics,Technical,smart worker,yes,no,Software Developer
3,0,3,1,no,yes,python,game development,poor,excellent,IOT,Business process analyst,product development,no,Fantasy,Management,smart worker,yes,yes,Software Developer
2,3,9,4,yes,yes,hadoop,hacking,medium,excellent,data engineering,system developer,Web Services,yes,Science,Management,smart worker,no,no,Software Developer
1,6,9,3,yes,no,machine learning,testing,poor,poor,cloud computing,cloud computing,Finance,no,Childrens,Management,smart worker,yes,yes,Software Developer
5,1,2,9,yes,yes,r programming,web technologies,excellent,excellent,Management,testing,Finance,yes,Religion-Spirituality,Management,hard worker,yes,no,Software Developer
8,3,6,7,no,no,r programming,web technologies,excellent,excellent,parallel computing,cloud computing,Product based,yes,Prayer books,Technical,hard worker,no,no,Software Developer
4,5,2,7,yes,yes,python,web technologies,excellent,excellent,data engineering,testing,Finance,yes,Science,Management,smart worker,no,yes,Software Developer
1,3,9,6,no,yes,shell programming,web technologies,excellent,poor,cloud computing,system developer,Product based,yes,Anthology,Technical,hard worker,no,no,Software Developer
2,0,1,1,yes,yes,app development,data science,poor,medium,data engineering,testing,Product based,yes,Fantasy,Management,smart worker,yes,no,Software Developer
5,5,6,2,no,no,distro making,web technologies,poor,excellent,IOT,developer,Service Based,yes,Childrens,Management,hard worker,yes,yes,Software Developer
2,1,6,1,yes,no,shell programming,hacking,poor,poor,hacking,Business process analyst,Sales and Marketing,no,History,Management,hard worker,no,no,Software Developer
4,2,2,5,no,no,machine learning,web technologies,poor,poor,networks,testing,BPA,no,Comics,Technical,smart worker,no,no,Software Developer
7,3,2,7,no,yes,full stack,database security,medium,excellent,Software Engineering,security,Testing and Maintainance Services,no,Health,Management,smart worker,yes,no,Software Developer
8,2,3,2,no,yes,app development,database security,poor,poor,parallel computing,security,BPA,no,Drama,Management,hard worker,yes,no,Software Developer
3,0,1,4,yes,no,full stack,system designing,poor,excellent,Management,Business process analyst,Web Services,yes,Poetry,Technical,smart worker,no,no,Software Developer
2,0,4,8,yes,no,hadoop,web technologies,excellent,poor,IOT,developer,BPA,yes,Art,Management,smart worker,yes,no,Software Developer
8,6,7,7,no,yes,app development,testing,excellent,excellent,data engineering,Business process analyst,BPA,no,Childrens,Management,hard worker,yes,yes,Software Developer
7,2,1,5,no,no,r programming,system designing,excellent,excellent,Computer Architecture,security,Testing and Maintainance Services,yes,Series,Management,smart worker,yes,no,Software Developer
4,4,5,8,yes,yes,r programming,hacking,excellent,excellent,Management,security,Cloud Services,no,Comics,Technical,smart worker,yes,no,Software Developer
9,1,4,8,no,yes,python,testing,excellent,excellent,programming,developer,Cloud Services,no,Diaries,Management,smart worker,yes,no,Software Developer
7,0,2,8,no,yes,python,database security,poor,excellent,data engineering,Business process analyst,Web Services,yes,Health,Management,hard worker,no,no,Software Developer
